CustomerID,Age,Annual_Income_k$,Spending_Score
96,37,58.5,42.5
16,22,18.3,81.6
31,22,14.6,71.4
159,41,58.9,80.8
129,41,61.0,44.9
116,42,50.0,50.7
70,22,32.4,80.4
171,54,90.0,30.6
175,62,100.8,32.4
46,22,47.5,67.5
67,24,20.1,75.5
183,48,109.2,36.1
166,47,119.1,24.4
79,25,20.5,69.7
187,52,99.7,15.7
178,54,110.6,27.0
57,21,23.7,68.8
153,44,46.8,34.8
83,43,51.8,50.1
69,26,34.2,69.3
125,52,66.9,37.0
17,20,32.4,75.1
149,43,69.5,44.7
94,46,53.2,62.8
66,30,36.3,83.7
61,23,31.8,93.5
85,32,49.9,45.5
68,29,19.4,66.4
126,28,56.0,56.7
133,36,74.5,40.1
10,27,34.1,69.0
19,21,30.0,72.9
56,28,42.4,81.1
76,28,24.3,80.1
151,38,51.0,47.2
105,38,55.3,56.5
136,35,52.3,42.1
138,41,61.8,39.6
165,51,103.1,12.7
77,25,44.9,58.8
80,18,35.3,81.8
198,72,42.5,21.2
39,19,39.1,75.5
25,22,28.7,73.2
123,49,58.9,29.3
196,50,135.5,78.1
30,23,29.4,62.9
20,19,28.1,96.8
144,43,54.7,52.1
87,37,71.6,39.3
115,34,59.8,65.0
174,50,116.8,31.8
6,24,26.0,78.3
127,39,62.2,53.7
118,36,57.1,36.2
74,31,31.9,69.8
141,35,51.6,69.6
99,42,64.1,61.8
173,55,102.0,38.2
97,47,51.7,65.5
170,59,119.0,25.8
98,35,56.8,51.2
32,32,29.8,81.9
13,25,24.4,74.4
36,20,32.4,78.1
120,37,51.7,49.4
43,24,41.2,83.7
190,50,103.1,27.5
91,32,59.9,57.1
137,45,68.7,48.9
52,23,30.5,84.1
128,43,60.1,40.6
163,46,107.1,33.7
42,25,22.7,79.5
119,40,63.2,33.0
114,40,58.4,57.2
27,20,45.1,78.8
140,43,51.9,38.0
101,34,51.8,70.6
112,31,74.8,29.6
3,27,41.8,84.3
78,23,33.8,76.5
47,23,22.1,79.1
188,50,105.4,22.9
192,32,52.8,57.7
86,37,47.9,56.2
162,50,109.4,22.1
37,25,29.7,67.9
191,40,26.0,74.4
62,24,40.5,60.1
23,25,27.3,66.4
142,36,54.0,50.4
102,39,62.4,67.6
34,20,49.7,65.0
12,23,37.7,68.5
195,34,69.9,71.0
160,39,72.4,61.2
7,31,37.3,81.6
28,26,31.4,74.4
121,40,65.2,53.8
5,24,23.5,82.7
33,24,30.5,76.7
143,44,38.8,43.0
146,40,61.5,47.8
110,40,57.9,32.4
145,39,52.4,48.9
11,23,30.8,67.9
63,20,17.1,80.5
113,46,68.6,47.3
147,47,63.4,56.1
167,51,116.0,34.0
1,26,28.2,67.2
199,19,160.0,71.7
154,44,78.3,63.7
71,26,32.0,69.2
124,32,64.0,49.1
65,28,32.1,71.2
45,19,34.7,64.0
164,56,99.1,40.1
29,22,32.1,68.2
41,27,36.3,77.9
109,37,52.8,60.6
156,40,55.3,47.5
157,44,42.9,55.8
26,25,33.2,80.7
24,19,23.6,78.9
185,51,102.2,38.4
148,36,78.8,57.6
82,39,66.0,44.0
40,25,36.0,65.9
169,63,111.2,32.6
48,29,25.5,79.1
95,30,69.8,53.3
155,47,71.8,66.4
44,23,18.8,83.4
139,44,81.9,44.5
4,31,25.9,68.4
106,32,62.3,63.7
54,27,33.8,80.2
134,45,69.6,55.0
181,59,117.7,32.0
179,50,113.1,32.8
186,52,110.6,27.1
50,18,26.0,100.0
81,35,61.0,34.1
35,28,28.5,76.4
8,28,32.6,90.2
111,48,63.1,38.2
92,45,51.0,38.8
84,45,80.9,50.5
177,49,90.5,26.6
182,64,90.1,44.5
90,42,66.3,55.1
9,23,25.8,73.0
14,18,27.4,77.7
60,28,20.2,75.7
172,62,116.5,28.9
132,37,65.0,59.6
18,26,32.1,86.6
73,24,24.6,75.4
176,57,88.3,27.1
135,42,81.5,44.7
168,49,98.3,28.6
184,57,95.5,27.7
64,20,31.5,62.1
55,29,22.6,72.5
108,31,45.9,56.9
51,26,17.6,79.6
197,64,129.5,15.2
59,26,36.5,71.1
49,26,30.8,79.1
89,50,66.2,51.2
22,24,26.6,68.1
58,23,27.4,73.1
161,54,113.2,35.8
193,50,104.6,99.8
130,36,52.3,39.4
38,18,20.7,76.2
158,38,73.5,53.1
194,42,86.2,75.5
2,24,32.9,81.3
53,22,21.5,82.6
150,38,54.2,44.2
131,38,60.2,49.4
152,46,64.9,27.0
104,33,54.9,59.7
100,44,54.4,50.7
117,41,59.8,66.3
88,36,67.9,48.6
75,18,32.3,92.2
122,43,75.3,49.7
200,31,96.7,49.9
21,30,18.7,80.0
189,55,122.1,16.9
72,31,32.8,76.7
107,49,45.5,40.4
15,18,26.9,77.2
93,52,60.8,34.7
180,48,99.1,27.1
103,20,62.4,47.5
